id,label,tweet,,
1,none,You are clinically in-fucking sane if you think we can spend 30 TRILLION dollars and not bankrupt this country in no time. Like you are taking stupidity to a whole other level ,,
2,offensive,@realDonaldTrump Trump you piece of s*** you're taking the holidays away from us because of your incompetence with covid-19.. you jackass. ,,
3,none,"sick of these niggas, covid-19 ",,
4,none,Everybody please take a little time and Happy Birthday to Corona. Yes Bitch you sucks and may you die soon. ,,
5,none,"Georgia is giving Bammers all they want and some! C'mon Nick, you bitch slapped Covid to let kirby slap you back!! Don't you turn the other cheek Nick, drop yo nuts! Damn I hate Ga.!!! ",,
6,offensive,@TheMancUK These silly cunts will be all over Twitter whingeing when Boris announces another total lockdown! 3 fucking months down the pan! ,,
7,none,The only people that should die of corona are the people who won’t stop buying ALL THE SHIT! I haven’t been able to find minestrone soup for 3 fucking weeks! ,,
8,none,@AnthemRespect @realDonaldTrump You attempted to poison American citizens by promoting hydrochloriquine as a treatment for covid-19! Now your worried about someone getting a name wrong? Your an idiot! ,,
9,offensive,@realDonaldTrump Like all your Trump shit made in China? You are such a liar 😂😂😂 ,,
10,offensive,@MeginNorthAL Mike Pence is a jackass. He is the head of the coronavirus task force and he never wears a mask in public. Going against all of the CDC guidelines. I'll say it again Mike Pence is a jackass. ,,
11,none,"So idiocy is contagious ! A f🤬ing mask is not oppression, morons ! ",,
12,offensive,"@realDonaldTrump Hey asshole, your idol Richard Nixon won both states in 1960 and LOST the election to JFK! You saw @GOP Attorneys General embarrass themselves with your attempted coup in TX. Be prepared for Dem AG's to indict you on tens of thousands of depraved indifference homicides, COVIDIOT! ",,
13,none,@realDonaldTrump @US_FDA The FDA hasn’t authorized a vaccine you orange hairball of a loser and moron. ,,
14,none,Nah fuck COVID fr ,,
15,offensive,@realDonaldTrump Sit your infected ass down &amp; stop spreading this virus! ,,
16,none,I’ma be burnt tf out after this coronavirus shit over 😭 ,,
17,none,Ugh this pandemic is so stupid ,,
18,none,"@fihan_naru @instagram No, that's also happened to me. I thought they supposed that am a lesbian, haha wtf! Actually they're a bot, scammer accounts.... always share a stupid link that i knew it's a virus or whatever... 🥴 Please IG, do your magic to remove them all. Not good.. uh-umm! Disgusting, eww! ",,
19,hate,"Ahhh the classic “I’m losing so let’s fall back on stoking fears among my qanon, antisemite, far/alt right base, fuck suburban women” tactic ",,
20,none,Haha fuck??? My school has one covid case hahaha fuck I have never been this scared of my life ,,
21,offensive,"@reharmon56 I wasnt joking! I'm asking for advice since I'm post Covid and having sincere symptoms. Fuck off bitch not in the mood for being called a TROLL! deleted your original comment, coward. Fuck your apology I'm in severe pain and you are a C U Next Tuesday!!!🖕🖕🖕 ",,
22,none,"I really want to find a new line of work, but that kinda shit isn’t easy when we aren’t in the middle of a fucking pandemic. ",,
23,offensive,"If you demand your idea of “professionalism” during a pandemic, then you’re a dick 🤷‍♀️ ",,
24,offensive,@ARiley716 @DfreeJr87 @Jimbo1523 @TrunkWaffleMan @Wario64 Bitch we are in a fucking pandemic you act like there’s tons of other shit to do fuck yes a new console is a priority. ,,
25,offensive,@annaspoerre @KCStar School you dumb bastards reopen the schools. I don’t care if they get sick and die from covid. They will drop into a life of crime and kill each other without it. The cure is worst than the disease. Not a screaming thought. 😉 ,,
26,offensive,that nigga t*ry l*mez not seeing the gates ,,
27,none,The first problem I have to grapple with when we slowly come out of lockdown is stopping eating like there is no tomorrow! I’ve turned into a fucking plague of locusts! ,,
28,offensive,"You’ve killed over 205,000 Americans due to your incompetence on Covid. You’re a loser and a clown. ",,
29,none,Rant...... This person moved here from South Africa during the pandemic and this is their status. Hypocrite cunt ,,
30,none,"@chillkruiser24 That too but covid is new mfs been doing this for the longest and faithfully and yes be raw dogging strangers, probably don’t even know how they look they just see ass and dick ",,
